ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME,FAIXA_ETARIA,RISK_SCORE,PERFIL_RISCO,CREDIT_SCORE_FAIXA,MILEAGE_FAIXA,OUTCOME_LABEL
951465,65+,Feminino,majority,30y+,university,Alta Renda,0.7012683240604196,1.0,before 2015,1.0,1.0,10238,10000.0,sedan,3,1,1,0,65+,5,Muito Alto,Q4 (Alto),Q1 (Baixa),Sem Sinistro
496987,16-25,Masculino,majority,0-9y,none,Baixa Renda,0.1712440288213211,1.0,before 2015,1.0,1.0,10238,9000.0,sedan,0,0,0,0,16-25,0,Baixo,Q1 (Baixo),Q1 (Baixa),Sem Sinistro
732437,16-25,Masculino,majority,0-9y,none,Baixa Renda,0.3184419972124171,1.0,before 2015,0.0,1.0,32765,10000.0,sedan,0,0,0,1,16-25,0,Baixo,Q1 (Baixo),Q1 (Baixa),Com Sinistro
146897,26-39,Feminino,majority,0-9y,high school,Classe Media,0.6046842696715551,1.0,before 2015,1.0,1.0,21217,11000.0,sedan,0,0,0,1,26-39,0,Baixo,Q3,Q2,Com Sinistro
316173,16-25,Masculino,majority,0-9y,university,Classe Trabalhadora,0.5049948526440377,0.0,after 2015,0.0,0.0,32765,8000.0,sedan,0,0,0,1,16-25,0,Baixo,Q2,Q1 (Baixa),Com Sinistro
9013,26-39,Masculino,majority,10-19y,high school,Classe Trabalhadora,0.6251466352816216,1.0,before 2015,0.0,1.0,10238,17000.0,sedan,3,0,2,0,26-39,5,Muito Alto,Q4 (Alto),Q4 (Alta),Sem Sinistro
511757,40-64,Feminino,majority,10-19y,none,Classe Media,,1.0,before 2015,1.0,1.0,10238,11000.0,sedan,2,0,1,0,40-64,3,Alto,,Q2,Sem Sinistro
429947,65+,Masculino,majority,30y+,university,Alta Renda,,0.0,after 2015,0.0,1.0,10238,12000.0,sports car,6,0,5,0,65+,11,Muito Alto,,Q2,Sem Sinistro
485660,40-64,Masculino,majority,10-19y,university,Alta Renda,0.5781305873212035,1.0,before 2015,0.0,1.0,92101,14000.0,sedan,1,0,1,0,40-64,2,Médio,Q3,Q3,Sem Sinistro
80496,65+,Masculino,majority,30y+,high school,Alta Renda,0.7054542902137054,1.0,before 2015,1.0,1.0,10238,10000.0,sedan,5,1,3,0,65+,9,Muito Alto,Q4 (Alto),Q1 (Baixa),Sem Sinistro
478336,40-64,Masculino,majority,20-29y,university,Alta Renda,0.6595254905875941,1.0,after 2015,0.0,1.0,10238,16000.0,sedan,4,0,2,0,40-64,6,Muito Alto,Q4 (Alto),Q4 (Alta),Sem Sinistro
10843,40-64,Masculino,majority,20-29y,university,Alta Renda,0.5873836120460223,0.0,after 2015,1.0,1.0,32765,9000.0,sedan,10,2,0,0,40-64,12,Muito Alto,Q3,Q1 (Baixa),Sem Sinistro
397446,16-25,Masculino,majority,0-9y,none,Baixa Renda,0.4064824253974476,0.0,before 2015,0.0,0.0,10238,16000.0,sedan,0,0,0,1,16-25,0,Baixo,Q1 (Baixo),Q4 (Alta),Com Sinistro
101678,26-39,Feminino,majority,10-19y,high school,Baixa Renda,0.2857471319596469,0.0,before 2015,0.0,1.0,10238,13000.0,sedan,1,0,0,1,26-39,1,Médio,Q1 (Baixo),Q3,Com Sinistro
231661,40-64,Masculino,majority,20-29y,high school,Classe Media,0.5022849652731057,0.0,before 2015,0.0,0.0,10238,14000.0,sports car,3,0,4,0,40-64,7,Muito Alto,Q2,Q3,Sem Sinistro
173782,65+,Masculino,majority,20-29y,high school,Alta Renda,0.6256257210210231,1.0,after 2015,1.0,1.0,10238,7000.0,sedan,7,0,5,0,65+,12,Muito Alto,Q4 (Alto),Q1 (Baixa),Sem Sinistro
921097,40-64,Feminino,majority,20-29y,university,Alta Renda,,1.0,after 2015,1.0,1.0,92101,11000.0,sedan,3,0,2,0,40-64,5,Muito Alto,,Q2,Sem Sinistro
98839,26-39,Feminino,minority,10-19y,university,Classe Trabalhadora,0.3931531299744003,1.0,before 2015,0.0,1.0,32765,12000.0,sedan,1,0,0,0,26-39,1,Médio,Q1 (Baixo),Q2,Sem Sinistro
105372,26-39,Feminino,minority,10-19y,none,Classe Trabalhadora,0.5039497598168121,0.0,before 2015,0.0,1.0,10238,14000.0,sedan,1,0,0,0,26-39,1,Médio,Q2,Q3,Sem Sinistro
888828,40-64,Masculino,majority,20-29y,university,Alta Renda,0.6586274302571438,1.0,before 2015,1.0,0.0,10238,14000.0,sedan,3,0,2,0,40-64,5,Muito Alto,Q4 (Alto),Q3,Sem Sinistro
37454,26-39,Feminino,majority,0-9y,high school,Classe Trabalhadora,0.5241464657501199,0.0,before 2015,0.0,0.0,10238,17000.0,sedan,0,0,0,1,26-39,0,Baixo,Q2,Q4 (Alta),Com Sinistro
370044,65+,Masculino,majority,20-29y,university,Alta Renda,0.5531007570628673,0.0,after 2015,1.0,1.0,32765,7000.0,sedan,9,0,1,0,65+,10,Muito Alto,Q3,Q1 (Baixa),Sem Sinistro
768282,16-25,Feminino,majority,0-9y,university,Classe Trabalhadora,0.4475509489142775,0.0,before 2015,1.0,1.0,10238,8000.0,sedan,0,0,0,1,16-25,0,Baixo,Q2,Q1 (Baixa),Com Sinistro
738729,16-25,Feminino,majority,0-9y,none,Classe Trabalhadora,0.5107331365064207,1.0,before 2015,1.0,1.0,10238,7000.0,sedan,0,0,0,1,16-25,0,Baixo,Q2,Q1 (Baixa),Com Sinistro
437535,26-39,Feminino,majority,10-19y,high school,Classe Media,,1.0,after 2015,1.0,0.0,10238,15000.0,sedan,0,0,0,0,26-39,0,Baixo,,Q4 (Alta),Sem Sinistro
329536,16-25,Feminino,majority,0-9y,high school,Baixa Renda,0.4613735917269193,0.0,before 2015,0.0,0.0,32765,9000.0,sedan,0,0,0,1,16-25,0,Baixo,Q2,Q1 (Baixa),Com Sinistro
328531,40-64,Feminino,majority,20-29y,university,Classe Media,0.3875569443647317,0.0,after 2015,0.0,1.0,32765,12000.0,sedan,2,0,1,0,40-64,3,Alto,Q1 (Baixo),Q2,Sem Sinistro
123941,40-64,Feminino,majority,20-29y,university,Classe Media,0.5701572256616224,1.0,after 2015,1.0,1.0,10238,,sedan,0,0,0,0,40-64,0,Baixo,Q3,,Sem Sinistro
131881,26-39,Masculino,majority,10-19y,university,Classe Trabalhadora,0.5501250875743224,1.0,before 2015,0.0,0.0,10238,16000.0,sedan,0,1,0,0,26-39,1,Médio,Q3,Q4 (Alta),Sem Sinistro
839572,40-64,Masculino,majority,20-29y,high school,Classe Trabalhadora,0.4529442316093683,0.0,before 2015,1.0,1.0,10238,12000.0,sedan,3,0,1,0,40-64,4,Alto,Q2,Q2,Sem Sinistro
171578,26-39,Masculino,majority,10-19y,university,Alta Renda,,1.0,before 2015,1.0,1.0,10238,8000.0,sedan,2,0,1,0,26-39,3,Alto,,Q1 (Baixa),Sem Sinistro
589757,40-64,Feminino,majority,20-29y,high school,Alta Renda,0.5352743096602144,1.0,before 2015,1.0,1.0,92101,7000.0,sedan,2,0,0,0,40-64,2,Médio,Q3,Q1 (Baixa),Sem Sinistro
336859,16-25,Feminino,majority,0-9y,university,Classe Media,0.6147359485632915,1.0,before 2015,0.0,1.0,10238,15000.0,sedan,0,0,0,1,16-25,0,Baixo,Q3,Q4 (Alta),Com Sinistro
788111,40-64,Feminino,minority,20-29y,high school,Baixa Renda,0.4544471564329259,1.0,before 2015,1.0,1.0,10238,,sedan,1,0,1,0,40-64,2,Médio,Q2,,Sem Sinistro
407453,40-64,Feminino,majority,0-9y,university,Alta Renda,0.6137409183819416,1.0,before 2015,0.0,0.0,10238,,sedan,0,0,0,0,40-64,0,Baixo,Q3,,Sem Sinistro
367026,40-64,Feminino,minority,10-19y,high school,Classe Trabalhadora,0.5326613280250595,1.0,before 2015,1.0,1.0,10238,11000.0,sedan,0,0,0,0,40-64,0,Baixo,Q3,Q2,Sem Sinistro
334687,40-64,Feminino,minority,0-9y,university,Classe Media,0.4277285143019345,1.0,before 2015,0.0,0.0,10238,15000.0,sedan,0,0,0,1,40-64,0,Baixo,Q2,Q4 (Alta),Com Sinistro
623367,65+,Masculino,majority,20-29y,university,Alta Renda,0.6859457213719147,1.0,before 2015,1.0,1.0,32765,5000.0,sedan,4,1,4,0,65+,9,Muito Alto,Q4 (Alto),Q1 (Baixa),Sem Sinistro
688440,65+,Masculino,majority,10-19y,university,Alta Renda,0.6936124267187082,1.0,before 2015,1.0,1.0,10238,10000.0,sedan,2,0,0,0,65+,2,Médio,Q4 (Alto),Q1 (Baixa),Sem Sinistro
547974,65+,Masculino,majority,20-29y,high school,Alta Renda,0.5979905963582334,0.0,before 2015,1.0,1.0,10238,12000.0,sedan,2,1,7,1,65+,10,Muito Alto,Q3,Q2,Com Sinistro
989064,26-39,Masculino,majority,0-9y,none,Baixa Renda,0.3308186664986927,0.0,after 2015,1.0,1.0,10238,12000.0,sedan,0,0,0,1,26-39,0,Baixo,Q1 (Baixo),Q2,Com Sinistro
422816,40-64,Masculino,majority,20-29y,high school,Classe Trabalhadora,,1.0,before 2015,0.0,0.0,10238,12000.0,sedan,5,0,7,0,40-64,12,Muito Alto,,Q2,Sem Sinistro
307408,26-39,Feminino,minority,10-19y,none,Classe Trabalhadora,,1.0,before 2015,0.0,1.0,10238,9000.0,sedan,2,0,0,0,26-39,2,Médio,,Q1 (Baixa),Sem Sinistro
675898,16-25,Masculino,majority,0-9y,high school,Classe Media,0.5083042183803546,1.0,before 2015,0.0,1.0,10238,16000.0,sedan,0,0,0,0,16-25,0,Baixo,Q2,Q4 (Alta),Sem Sinistro
480452,26-39,Feminino,majority,0-9y,university,Alta Renda,0.7641329165005233,1.0,before 2015,1.0,1.0,10238,12000.0,sedan,0,0,0,0,26-39,0,Baixo,Q4 (Alto),Q2,Sem Sinistro
93199,40-64,Feminino,majority,0-9y,university,Classe Media,0.4775169603837716,1.0,after 2015,1.0,1.0,10238,14000.0,sedan,0,0,0,0,40-64,0,Baixo,Q2,Q3,Sem Sinistro
125802,40-64,Feminino,majority,20-29y,university,Alta Renda,0.6812332078486962,1.0,before 2015,1.0,1.0,10238,10000.0,sedan,0,0,1,0,40-64,1,Médio,Q4 (Alto),Q1 (Baixa),Sem Sinistro
616663,40-64,Masculino,majority,0-9y,university,Alta Renda,0.4671555457007022,1.0,after 2015,0.0,0.0,10238,16000.0,sedan,0,0,0,0,40-64,0,Baixo,Q2,Q4 (Alta),Sem Sinistro
423497,16-25,Feminino,majority,0-9y,high school,Classe Trabalhadora,0.3941632454999797,1.0,before 2015,0.0,0.0,10238,16000.0,sedan,0,0,0,1,16-25,0,Baixo,Q1 (Baixo),Q4 (Alta),Com Sinistro
492837,40-64,Feminino,majority,10-19y,university,Alta Renda,0.6610607322734078,1.0,after 2015,1.0,1.0,10238,14000.0,sedan,0,0,0,0,40-64,0,Baixo,Q4 (Alto),Q3,Sem Sinistro
422563,40-64,Masculino,majority,20-29y,university,Alta Renda,0.6651879748430346,0.0,before 2015,0.0,1.0,10238,14000.0,sedan,2,0,1,0,40-64,3,Alto,Q4 (Alto),Q3,Sem Sinistro
185231,16-25,Feminino,majority,0-9y,high school,Classe Media,0.560770206632082,1.0,before 2015,0.0,1.0,10238,11000.0,sedan,0,0,0,0,16-25,0,Baixo,Q3,Q2,Sem Sinistro
949152,26-39,Feminino,majority,10-19y,university,Alta Renda,0.7454327103696547,0.0,after 2015,0.0,0.0,32765,9000.0,sedan,0,0,0,0,26-39,0,Baixo,Q4 (Alto),Q1 (Baixa),Sem Sinistro
859453,26-39,Masculino,majority,10-19y,university,Classe Media,0.53257435224505,1.0,before 2015,1.0,1.0,10238,13000.0,sedan,1,0,2,0,26-39,3,Alto,Q3,Q3,Sem Sinistro
466578,26-39,Feminino,majority,10-19y,high school,Classe Media,0.5267473391434415,1.0,after 2015,0.0,1.0,10238,14000.0,sedan,0,0,0,0,26-39,0,Baixo,Q3,Q3,Sem Sinistro
998214,16-25,Feminino,minority,0-9y,none,Baixa Renda,0.4124517461654282,0.0,before 2015,0.0,0.0,10238,14000.0,sedan,0,0,0,1,16-25,0,Baixo,Q1 (Baixo),Q3,Com Sinistro
828462,40-64,Masculino,majority,20-29y,high school,Classe Trabalhadora,0.3871071449018297,0.0,before 2015,0.0,1.0,10238,16000.0,sedan,0,0,6,0,40-64,6,Muito Alto,Q1 (Baixo),Q4 (Alta),Sem Sinistro
511837,65+,Masculino,majority,10-19y,high school,Classe Media,0.5499938678343249,1.0,before 2015,1.0,1.0,32765,9000.0,sedan,3,1,1,0,65+,5,Muito Alto,Q3,Q1 (Baixa),Sem Sinistro
554995,16-25,Masculino,majority,0-9y,university,Alta Renda,0.5853420947575604,1.0,before 2015,1.0,1.0,10238,12000.0,sports car,0,0,0,1,16-25,0,Baixo,Q3,Q2,Com Sinistro
680717,65+,Masculino,majority,30y+,none,Classe Media,0.5987396054343311,1.0,before 2015,1.0,1.0,10238,14000.0,sedan,6,1,3,0,65+,10,Muito Alto,Q3,Q3,Sem Sinistro
978021,40-64,Masculino,majority,20-29y,university,Alta Renda,0.6026557000791793,1.0,after 2015,1.0,1.0,10238,7000.0,sedan,4,0,6,0,40-64,10,Muito Alto,Q3,Q1 (Baixa),Sem Sinistro
509815,26-39,Feminino,majority,0-9y,high school,Classe Trabalhadora,0.5114570584803535,1.0,after 2015,1.0,1.0,32765,,sedan,0,0,0,0,26-39,0,Baixo,Q2,,Sem Sinistro
6676,40-64,Feminino,majority,20-29y,high school,Alta Renda,0.5586591735288894,0.0,before 2015,0.0,1.0,10238,15000.0,sedan,3,0,2,0,40-64,5,Muito Alto,Q3,Q4 (Alta),Sem Sinistro
362280,40-64,Masculino,majority,10-19y,high school,Classe Trabalhadora,0.6284070137170304,0.0,before 2015,0.0,0.0,10238,13000.0,sedan,0,0,0,1,40-64,0,Baixo,Q4 (Alto),Q3,Com Sinistro
883018,40-64,Masculino,majority,0-9y,high school,Classe Trabalhadora,0.5057903732571783,1.0,before 2015,0.0,1.0,10238,13000.0,sedan,0,0,0,0,40-64,0,Baixo,Q2,Q3,Sem Sinistro
889355,26-39,Feminino,majority,10-19y,university,Alta Renda,0.7268184180645275,1.0,before 2015,1.0,1.0,10238,15000.0,sedan,2,0,0,0,26-39,2,Médio,Q4 (Alto),Q4 (Alta),Sem Sinistro
198273,65+,Masculino,majority,20-29y,university,Alta Renda,0.6904423335733175,1.0,after 2015,1.0,1.0,32765,9000.0,sedan,8,0,2,0,65+,10,Muito Alto,Q4 (Alto),Q1 (Baixa),Sem Sinistro
197763,40-64,Masculino,majority,20-29y,university,Alta Renda,0.4796771646619314,0.0,after 2015,1.0,0.0,10238,14000.0,sedan,1,0,2,0,40-64,3,Alto,Q2,Q3,Sem Sinistro
55670,26-39,Masculino,majority,10-19y,university,Alta Renda,,1.0,after 2015,1.0,1.0,10238,11000.0,sedan,3,1,0,0,26-39,4,Alto,,Q2,Sem Sinistro
545941,40-64,Feminino,majority,20-29y,none,Classe Trabalhadora,0.4405592041968235,1.0,after 2015,1.0,1.0,10238,11000.0,sedan,1,0,2,0,40-64,3,Alto,Q2,Q2,Sem Sinistro
814196,16-25,Feminino,majority,0-9y,none,Classe Media,0.634052597196068,1.0,before 2015,0.0,1.0,32765,,sedan,0,0,0,1,16-25,0,Baixo,Q4 (Alto),,Com Sinistro
560160,16-25,Feminino,majority,0-9y,high school,Baixa Renda,0.4574695879943666,0.0,before 2015,0.0,0.0,10238,,sedan,0,0,0,0,16-25,0,Baixo,Q2,,Sem Sinistro
320444,26-39,Masculino,majority,0-9y,none,Baixa Renda,0.3086490182004943,0.0,before 2015,0.0,1.0,10238,14000.0,sedan,0,0,0,0,26-39,0,Baixo,Q1 (Baixo),Q3,Sem Sinistro
305793,16-25,Masculino,majority,0-9y,high school,Baixa Renda,0.2458351852340737,0.0,before 2015,1.0,1.0,10238,11000.0,sedan,0,0,0,1,16-25,0,Baixo,Q1 (Baixo),Q2,Com Sinistro
362190,16-25,Masculino,majority,0-9y,high school,Baixa Renda,0.3056465190413162,0.0,before 2015,0.0,0.0,10238,14000.0,sedan,0,0,0,1,16-25,0,Baixo,Q1 (Baixo),Q3,Com Sinistro
62647,26-39,Masculino,majority,10-19y,high school,Alta Renda,0.7440140862681482,1.0,before 2015,0.0,0.0,10238,13000.0,sedan,2,0,1,0,26-39,3,Alto,Q4 (Alto),Q3,Sem Sinistro
296948,40-64,Masculino,majority,10-19y,university,Alta Renda,0.6704645467899408,1.0,after 2015,1.0,1.0,10238,14000.0,sedan,0,0,0,0,40-64,0,Baixo,Q4 (Alto),Q3,Sem Sinistro
673660,65+,Feminino,majority,30y+,high school,Alta Renda,0.6830407984824192,0.0,after 2015,1.0,1.0,10238,10000.0,sedan,4,1,3,0,65+,8,Muito Alto,Q4 (Alto),Q1 (Baixa),Sem Sinistro
945867,16-25,Masculino,majority,0-9y,university,Classe Media,0.828628569053192,1.0,before 2015,0.0,0.0,10238,13000.0,sedan,0,0,0,1,16-25,0,Baixo,Q4 (Alto),Q3,Com Sinistro
391880,65+,Masculino,majority,30y+,none,Classe Media,,1.0,before 2015,1.0,1.0,32765,10000.0,sedan,12,2,2,0,65+,16,Muito Alto,,Q1 (Baixa),Sem Sinistro
241973,65+,Feminino,majority,30y+,high school,Alta Renda,0.6293380939717407,1.0,before 2015,1.0,0.0,10238,11000.0,sedan,2,0,2,0,65+,4,Alto,Q4 (Alto),Q2,Sem Sinistro
429503,16-25,Masculino,majority,0-9y,high school,Baixa Renda,0.28372421050714,0.0,before 2015,0.0,1.0,10238,15000.0,sedan,0,0,0,1,16-25,0,Baixo,Q1 (Baixo),Q4 (Alta),Com Sinistro
810013,16-25,Masculino,majority,0-9y,university,Classe Trabalhadora,0.4576486815858435,1.0,after 2015,0.0,0.0,10238,14000.0,sports car,0,0,0,1,16-25,0,Baixo,Q2,Q3,Com Sinistro
663458,16-25,Feminino,majority,0-9y,high school,Baixa Renda,0.3049876423937953,0.0,before 2015,0.0,0.0,10238,15000.0,sedan,0,0,0,1,16-25,0,Baixo,Q1 (Baixo),Q4 (Alta),Com Sinistro
879976,16-25,Masculino,majority,0-9y,high school,Classe Trabalhadora,0.5517442884135392,0.0,before 2015,1.0,1.0,32765,10000.0,sedan,0,0,0,1,16-25,0,Baixo,Q3,Q1 (Baixa),Com Sinistro
418841,16-25,Masculino,minority,0-9y,none,Baixa Renda,0.3186855562451054,1.0,before 2015,1.0,0.0,32765,9000.0,sedan,0,0,0,1,16-25,0,Baixo,Q1 (Baixo),Q1 (Baixa),Com Sinistro
542236,26-39,Masculino,minority,10-19y,none,Classe Trabalhadora,0.436944194154781,1.0,before 2015,0.0,0.0,10238,12000.0,sedan,3,0,0,0,26-39,3,Alto,Q2,Q2,Sem Sinistro
937573,40-64,Masculino,majority,10-19y,university,Alta Renda,0.6291939843221722,1.0,before 2015,1.0,1.0,32765,7000.0,sedan,5,0,1,0,40-64,6,Muito Alto,Q4 (Alto),Q1 (Baixa),Sem Sinistro
670850,16-25,Masculino,majority,0-9y,university,Classe Trabalhadora,0.4055600158887265,1.0,before 2015,0.0,0.0,10238,17000.0,sedan,0,0,0,1,16-25,0,Baixo,Q1 (Baixo),Q4 (Alta),Com Sinistro
151252,16-25,Masculino,majority,0-9y,university,Classe Media,0.6235462115803201,1.0,before 2015,1.0,0.0,10238,11000.0,sedan,0,0,0,0,16-25,0,Baixo,Q4 (Alto),Q2,Sem Sinistro
706349,65+,Masculino,majority,10-19y,university,Alta Renda,0.7270329897821235,1.0,before 2015,1.0,1.0,10238,10000.0,sedan,1,1,2,0,65+,4,Alto,Q4 (Alto),Q1 (Baixa),Sem Sinistro
602998,65+,Masculino,majority,20-29y,none,Classe Trabalhadora,0.426828388879915,1.0,before 2015,1.0,0.0,10238,14000.0,sedan,3,1,7,0,65+,11,Muito Alto,Q2,Q3,Sem Sinistro
242772,26-39,Feminino,majority,10-19y,none,Classe Media,0.5036589704487734,1.0,before 2015,0.0,1.0,10238,10000.0,sedan,1,2,0,0,26-39,3,Alto,Q2,Q1 (Baixa),Sem Sinistro
393449,26-39,Feminino,majority,10-19y,high school,Classe Media,,0.0,before 2015,0.0,0.0,10238,12000.0,sedan,2,0,0,0,26-39,2,Médio,,Q2,Sem Sinistro
380740,65+,Masculino,majority,30y+,university,Alta Renda,0.7264400018455291,1.0,after 2015,1.0,1.0,10238,7000.0,sedan,2,0,3,0,65+,5,Muito Alto,Q4 (Alto),Q1 (Baixa),Sem Sinistro
